timestamp,elapsed_seconds,phase_id,phase_name,iteration,nnodes,gpus_per_node,gpu_id,gpu_name,temperature_c,power_draw_w,power_limit_w,enforced_power_limit_w,pstate,clocks_throttle_active,clocks_throttle_gpu_idle,clocks_throttle_sw_power_cap,memory_used_mb,memory_total_mb,memory_util_percent,gpu_util_percent,sm_clock_mhz,mem_clock_mhz
2026-02-12_08:03:55,0,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,53,87.37,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,1410,1512
2026-02-12_08:03:55,0,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,52,86.18,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,1410,1512
2026-02-12_08:03:56,1,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,52,60.38,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_08:03:56,1,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,51,60.79,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_08:03:58,3,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,51,60.17,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_08:03:58,3,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,50,60.49,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_08:03:59,4,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,50,60.56,300.00,300.00,P0,0x0000000000000001,Active,Not Active,3,81920,0,0,210,1512
2026-02-12_08:03:59,4,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,50,60.61,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_08:04:00,5,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,50,60.09,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-12_08:04:00,5,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,49,59.89,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-12_08:04:01,6,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,49,59.78,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_08:04:01,6,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,49,60.08,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_08:04:03,8,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,49,59.59,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_08:04:03,8,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,48,59.79,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_08:04:04,9,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,49,59.40,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_08:04:04,9,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,48,59.61,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_08:04:05,10,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,48,59.20,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-12_08:04:05,10,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,47,59.61,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-12_08:04:06,11,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,48,59.10,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_08:04:06,11,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,47,59.43,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_08:04:08,13,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,47,58.91,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_08:04:08,13,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,47,59.22,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_08:04:09,14,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,47,58.70,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_08:04:09,14,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,46,59.12,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_08:04:10,15,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,47,58.51,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-12_08:04:10,15,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,46,58.90,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-12_08:04:11,16,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,46,58.51,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
