timestamp,elapsed_seconds,phase_id,phase_name,iteration,nnodes,gpus_per_node,gpu_id,gpu_name,temperature_c,power_draw_w,power_limit_w,enforced_power_limit_w,pstate,clocks_throttle_active,clocks_throttle_gpu_idle,clocks_throttle_sw_power_cap,memory_used_mb,memory_total_mb,memory_util_percent,gpu_util_percent,sm_clock_mhz,mem_clock_mhz
2026-02-11_20:42:23,0,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.85,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:23,0,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.97,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:25,2,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.86,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:25,2,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.79,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:26,3,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.97,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:26,3,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.88,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:27,4,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.84,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:27,4,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.78,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:28,5,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.94,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:28,5,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.87,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:30,7,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.85,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:30,7,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.50,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:31,8,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.94,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:31,8,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.88,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:32,9,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.84,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:32,9,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.88,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:33,10,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,55.05,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:33,10,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.88,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:35,12,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.86,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:35,12,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.78,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:36,13,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,55.04,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:36,13,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.87,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:37,14,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.94,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:37,14,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.89,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:38,15,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.96,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:38,15,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.88,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:40,17,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,55.06,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:40,17,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.79,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:41,18,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.96,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:41,18,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.79,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:42,19,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,55.06,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:42,19,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.79,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:43,20,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,55.15,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:43,20,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.78,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:44,21,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,55.05,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:44,21,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.58,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:46,23,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,55.05,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:46,23,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.88,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:47,24,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.95,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:47,24,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.97,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:48,25,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.94,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:48,25,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.97,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:49,26,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,55.35,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:49,26,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.88,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:51,28,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,55.34,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:42:51,28,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,55.07,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:42:52,29,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.85,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:52,29,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.79,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:53,30,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.95,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:53,30,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.88,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:54,31,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,55.05,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:54,31,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.97,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:56,33,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.95,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:56,33,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.97,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:42:57,34,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.84,300.00,300.00,P0,0x0000000000000001,Active,Not Active,1,81920,0,0,210,1512
2026-02-11_20:42:57,34,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.99,300.00,300.00,P0,0x0000000000000001,Active,Not Active,1,81920,0,0,210,1512
2026-02-11_20:42:58,35,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.85,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:42:58,35,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.79,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:42:59,36,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.85,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:42:59,36,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.89,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:01,38,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.88,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:01,38,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.97,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:02,39,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.85,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:02,39,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.88,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:03,40,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.94,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:43:03,40,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.88,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:43:04,41,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.95,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:43:04,41,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.87,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:43:06,43,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,55.05,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:43:06,43,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,55.07,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-11_20:43:07,44,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.85,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:07,44,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.97,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:08,45,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.84,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:08,45,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.88,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:09,46,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.95,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:09,46,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.58,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:10,47,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,55.15,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:10,47,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.68,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:12,49,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.84,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:12,49,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.87,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:13,50,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,55.05,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:13,50,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.96,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:14,51,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.94,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:14,51,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.67,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:15,52,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.92,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:15,52,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.92,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:18,55,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.94,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:18,55,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.93,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:19,56,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,35,77.15,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,1410,1512
2026-02-11_20:43:19,56,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,76.77,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,1410,1512
2026-02-11_20:43:20,57,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,55.64,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,285,1512
2026-02-11_20:43:20,57,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,35,76.79,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,1410,1512
2026-02-11_20:43:22,59,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,55.05,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:22,59,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,55.17,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:23,60,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.95,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:23,60,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,55.07,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:24,61,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,55.05,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:24,61,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.68,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:25,62,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,55.05,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:25,62,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.67,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:26,63,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,55.05,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:26,63,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.78,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:28,65,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.94,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:28,65,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.96,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:29,66,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,55.05,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:29,66,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,55.07,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:30,67,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,55.05,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:30,67,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,55.07,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:31,68,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.84,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:31,68,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,55.06,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:33,70,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,55.05,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:33,70,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.96,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:34,71,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,54.95,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:34,71,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.96,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:35,72,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,55.05,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:35,72,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,55.36,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:36,73,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,55.15,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:36,73,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,55.07,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:37,74,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,55.05,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:37,74,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,54.97,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:39,76,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,34,55.05,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-11_20:43:39,76,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,34,75.03,300.00,300.00,P0,0x0000000000000004,Not Active,Active,1150,81920,0,2,1395,1512
2026-02-11_20:43:40,77,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,35,91.42,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,6416,81920,8,72,1410,1512
2026-02-11_20:43:40,77,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,35,85.88,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,8726,81920,7,99,1410,1512
2026-02-11_20:43:41,78,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,35,77.24,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,11444,81920,0,0,1410,1512
2026-02-11_20:43:41,78,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,35,76.46,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,13908,81920,0,0,1410,1512
2026-02-11_20:43:42,79,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,35,77.44,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,11444,81920,0,0,1410,1512
