timestamp,elapsed_seconds,phase_id,phase_name,iteration,nnodes,gpus_per_node,gpu_id,gpu_name,temperature_c,power_draw_w,power_limit_w,enforced_power_limit_w,pstate,clocks_throttle_active,clocks_throttle_gpu_idle,clocks_throttle_sw_power_cap,memory_used_mb,memory_total_mb,memory_util_percent,gpu_util_percent,sm_clock_mhz,mem_clock_mhz
2026-02-12_11:45:57,0,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,54,87.37,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,1410,1512
2026-02-12_11:45:57,0,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,53,86.28,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,1410,1512
2026-02-12_11:45:59,2,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,53,60.88,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_11:45:59,2,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,51,60.80,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_11:46:00,3,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,52,60.54,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_11:46:00,3,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,51,60.49,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_11:46:01,4,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,51,60.66,300.00,300.00,P0,0x0000000000000001,Active,Not Active,3,81920,0,0,210,1512
2026-02-12_11:46:01,4,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,50,60.40,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_11:46:02,5,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,51,60.77,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-12_11:46:02,5,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,50,60.48,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-12_11:46:04,7,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,50,60.28,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
