timestamp,elapsed_seconds,phase_id,phase_name,iteration,nnodes,gpus_per_node,gpu_id,gpu_name,temperature_c,power_draw_w,power_limit_w,enforced_power_limit_w,pstate,clocks_throttle_active,clocks_throttle_gpu_idle,clocks_throttle_sw_power_cap,memory_used_mb,memory_total_mb,memory_util_percent,gpu_util_percent,sm_clock_mhz,mem_clock_mhz
2026-02-12_03:40:30,0,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,56,91.18,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,1410,1512
2026-02-12_03:40:30,0,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,55,89.12,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,1410,1512
2026-02-12_03:40:31,1,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,55,62.73,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,285,1512
2026-02-12_03:40:31,1,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,54,62.76,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,300,1512
2026-02-12_03:40:33,3,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,54,61.73,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_03:40:33,3,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,54,61.97,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_03:40:34,4,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,54,61.35,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_03:40:34,4,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,53,61.66,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_03:40:35,5,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,53,61.56,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_03:40:35,5,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,52,61.43,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_03:40:37,7,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,53,60.87,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
