timestamp,elapsed_seconds,phase_id,phase_name,iteration,nnodes,gpus_per_node,gpu_id,gpu_name,temperature_c,power_draw_w,power_limit_w,enforced_power_limit_w,pstate,clocks_throttle_active,clocks_throttle_gpu_idle,clocks_throttle_sw_power_cap,memory_used_mb,memory_total_mb,memory_util_percent,gpu_util_percent,sm_clock_mhz,mem_clock_mhz,timestamp_aligned_unix,operation
2026-02-12_08:05:02,67,1,rollout,1,1,2,1,NVIDIA A100 80GB PCIe,40,204.20,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,36926,81920,4,8,1410,1512,1770901508.562069,gen
2026-02-12_08:05:04,69,1,rollout,1,1,2,1,NVIDIA A100 80GB PCIe,42,271.76,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,36108,81920,65,84,1410,1512,1770901510.562069,gen
2026-02-12_08:05:05,70,1,rollout,1,1,2,1,NVIDIA A100 80GB PCIe,44,274.97,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,36108,81920,70,90,1410,1512,1770901511.562069,gen
2026-02-12_08:05:06,71,1,rollout,1,1,2,1,NVIDIA A100 80GB PCIe,44,275.17,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,36108,81920,72,92,1410,1512,1770901512.562069,gen
2026-02-12_08:05:07,72,1,rollout,1,1,2,1,NVIDIA A100 80GB PCIe,42,82.18,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,12166,81920,9,83,1410,1512,1770901513.562069,gen
2026-02-12_08:05:09,74,2,rl_policy,1,1,2,1,NVIDIA A100 80GB PCIe,47,296.42,300.00,300.00,P0,0x0000000000000004,Not Active,Active,17270,81920,35,89,1335,1512,1770901515.562069,adv
2026-02-12_08:05:10,75,2,rl_policy,1,1,2,1,NVIDIA A100 80GB PCIe,48,298.74,300.00,300.00,P0,0x0000000000000004,Not Active,Active,17270,81920,36,98,1335,1512,1770901516.562069,adv
2026-02-12_08:05:11,76,3,training,1,1,2,1,NVIDIA A100 80GB PCIe,47,234.27,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,23118,81920,58,97,1410,1512,1770901517.562069,update_actor
2026-02-12_08:05:12,77,3,training,1,1,2,1,NVIDIA A100 80GB PCIe,47,236.48,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,34378,81920,61,99,1410,1512,1770901518.562069,update_actor
2026-02-12_08:05:13,78,3,training,1,1,2,1,NVIDIA A100 80GB PCIe,48,260.23,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,34378,81920,61,100,1410,1512,1770901519.562069,update_actor
2026-02-12_08:05:15,80,3,training,1,1,2,1,NVIDIA A100 80GB PCIe,48,257.28,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,34378,81920,61,100,1410,1512,1770901521.562069,update_actor
2026-02-12_08:05:16,81,3,training,1,1,2,1,NVIDIA A100 80GB PCIe,48,262.10,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,54938,81920,46,90,1410,1512,1770901522.562069,update_actor
2026-02-12_08:05:17,82,3,training,1,1,2,1,NVIDIA A100 80GB PCIe,49,244.84,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,54940,81920,46,93,1410,1512,1770901523.562069,update_actor
2026-02-12_08:05:18,83,3,training,1,1,2,1,NVIDIA A100 80GB PCIe,49,294.49,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,54940,81920,50,94,1410,1512,1770901524.562069,update_actor
2026-02-12_08:05:20,85,3,training,1,1,2,1,NVIDIA A100 80GB PCIe,49,266.10,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,54940,81920,55,97,1410,1512,1770901526.562069,update_actor
2026-02-12_08:05:21,86,3,training,1,1,2,1,NVIDIA A100 80GB PCIe,50,279.55,300.00,300.00,P0,0x0000000000000004,Not Active,Active,54940,81920,44,91,1395,1512,1770901527.562069,update_actor
2026-02-12_08:05:22,87,3,training,1,1,2,1,NVIDIA A100 80GB PCIe,50,261.61,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,54940,81920,46,93,1410,1512,1770901528.562069,update_actor
2026-02-12_08:05:23,88,3,training,1,1,2,1,NVIDIA A100 80GB PCIe,50,273.01,300.00,300.00,P0,0x0000000000000004,Not Active,Active,54940,81920,50,95,1395,1512,1770901529.562069,update_actor
2026-02-12_08:05:24,89,3,training,1,1,2,1,NVIDIA A100 80GB PCIe,50,259.35,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,54940,81920,55,97,1410,1512,1770901530.562069,update_actor
2026-02-12_08:05:26,91,3,training,1,1,2,1,NVIDIA A100 80GB PCIe,51,264.52,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,54940,81920,43,90,1410,1512,1770901532.562069,update_actor
2026-02-12_08:05:27,92,3,training,1,1,2,1,NVIDIA A100 80GB PCIe,51,274.95,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,54940,81920,47,93,1410,1512,1770901533.562069,update_actor
2026-02-12_08:05:28,93,3,training,1,1,2,1,NVIDIA A100 80GB PCIe,51,245.31,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,54940,81920,60,100,1410,1512,1770901534.562069,update_actor
2026-02-12_08:05:29,94,3,training,1,1,2,1,NVIDIA A100 80GB PCIe,51,243.65,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,54940,81920,61,100,1410,1512,1770901535.562069,update_actor
2026-02-12_08:05:30,96,1,rollout,2,1,2,1,NVIDIA A100 80GB PCIe,48,82.74,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,54940,81920,0,0,1410,1512,1770901536.562069,gen
2026-02-12_08:05:32,97,1,rollout,2,1,2,1,NVIDIA A100 80GB PCIe,47,82.53,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,52256,81920,9,15,1410,1512,1770901538.562069,gen
2026-02-12_08:05:33,98,1,rollout,2,1,2,1,NVIDIA A100 80GB PCIe,50,275.69,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,51438,81920,71,91,1410,1512,1770901539.562069,gen
2026-02-12_08:05:34,99,1,rollout,2,1,2,1,NVIDIA A100 80GB PCIe,51,282.81,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,51438,81920,71,91,1410,1512,1770901540.562069,gen
2026-02-12_08:05:35,100,1,rollout,2,1,2,1,NVIDIA A100 80GB PCIe,51,274.31,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,51438,81920,73,93,1410,1512,1770901541.562069,gen
2026-02-12_08:05:37,102,1,rollout,2,1,2,1,NVIDIA A100 80GB PCIe,48,86.15,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,27496,81920,3,100,1410,1512,1770901543.562069,gen
2026-02-12_08:05:38,103,2,rl_policy,2,1,2,1,NVIDIA A100 80GB PCIe,53,291.26,300.00,300.00,P0,0x0000000000000004,Not Active,Active,32598,81920,37,98,1320,1512,1770901544.562069,adv
2026-02-12_08:05:39,104,2,rl_policy,2,1,2,1,NVIDIA A100 80GB PCIe,53,297.84,300.00,300.00,P0,0x0000000000000004,Not Active,Active,32598,81920,37,98,1335,1512,1770901545.562069,adv
2026-02-12_08:05:40,105,3,training,2,1,2,1,NVIDIA A100 80GB PCIe,53,269.30,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,48278,81920,49,80,1410,1512,1770901546.562069,update_actor
2026-02-12_08:05:42,107,3,training,2,1,2,1,NVIDIA A100 80GB PCIe,53,257.92,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,49698,81920,50,94,1410,1512,1770901548.562069,update_actor
2026-02-12_08:05:43,108,3,training,2,1,2,1,NVIDIA A100 80GB PCIe,53,259.67,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,49698,81920,55,96,1410,1512,1770901549.562069,update_actor
2026-02-12_08:05:44,109,3,training,2,1,2,1,NVIDIA A100 80GB PCIe,53,303.00,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,49698,81920,58,98,1410,1512,1770901550.562069,update_actor
2026-02-12_08:05:45,110,3,training,2,1,2,1,NVIDIA A100 80GB PCIe,53,272.76,300.00,300.00,P0,0x0000000000000004,Not Active,Active,54938,81920,47,93,1395,1512,1770901551.562069,update_actor
2026-02-12_08:05:46,111,3,training,2,1,2,1,NVIDIA A100 80GB PCIe,53,262.13,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,54940,81920,52,95,1410,1512,1770901552.562069,update_actor
2026-02-12_08:05:48,113,3,training,2,1,2,1,NVIDIA A100 80GB PCIe,54,291.22,300.00,300.00,P0,0x0000000000000004,Not Active,Active,54940,81920,55,97,1395,1512,1770901554.562069,update_actor
2026-02-12_08:05:49,114,3,training,2,1,2,1,NVIDIA A100 80GB PCIe,54,269.45,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,54940,81920,59,98,1410,1512,1770901555.562069,update_actor
2026-02-12_08:05:50,115,3,training,2,1,2,1,NVIDIA A100 80GB PCIe,54,297.02,300.00,300.00,P0,0x0000000000000004,Not Active,Active,54940,81920,60,99,1395,1512,1770901556.562069,update_actor
2026-02-12_08:05:51,116,3,training,2,1,2,1,NVIDIA A100 80GB PCIe,55,299.12,300.00,300.00,P0,0x0000000000000004,Not Active,Active,54940,81920,60,100,1395,1512,1770901557.562069,update_actor
2026-02-12_08:05:53,118,3,training,2,1,2,1,NVIDIA A100 80GB PCIe,53,218.07,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,54940,81920,61,100,1410,1512,1770901559.562069,update_actor
2026-02-12_08:05:54,119,3,training,2,1,2,1,NVIDIA A100 80GB PCIe,54,259.55,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,54940,81920,61,100,1410,1512,1770901560.562069,update_actor
2026-02-12_08:05:55,120,3,training,2,1,2,1,NVIDIA A100 80GB PCIe,54,277.44,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,54940,81920,61,100,1410,1512,1770901561.562069,update_actor
2026-02-12_08:05:56,121,3,training,2,1,2,1,NVIDIA A100 80GB PCIe,55,277.69,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,54940,81920,52,94,1410,1512,1770901562.562069,update_actor
2026-02-12_08:05:58,123,3,training,2,1,2,1,NVIDIA A100 80GB PCIe,55,275.26,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,54940,81920,48,91,1410,1512,1770901564.562069,update_actor
2026-02-12_08:05:59,124,3,training,2,1,2,1,NVIDIA A100 80GB PCIe,52,156.45,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,54940,81920,74,86,1410,1512,1770901565.562069,update_actor
2026-02-12_08:06:00,125,1,rollout,3,1,2,1,NVIDIA A100 80GB PCIe,52,199.73,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,34196,81920,10,100,1410,1512,1770901566.562069,gen
2026-02-12_08:06:01,126,1,rollout,3,1,2,1,NVIDIA A100 80GB PCIe,53,283.52,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,51438,81920,41,72,1410,1512,1770901567.562069,gen
2026-02-12_08:06:03,128,1,rollout,3,1,2,1,NVIDIA A100 80GB PCIe,54,281.12,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,51438,81920,71,91,1410,1512,1770901569.562069,gen
2026-02-12_08:06:04,129,1,rollout,3,1,2,1,NVIDIA A100 80GB PCIe,54,302.82,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,51438,81920,77,93,1410,1512,1770901570.562069,gen
2026-02-12_08:06:05,130,1,rollout,3,1,2,1,NVIDIA A100 80GB PCIe,51,88.61,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,27496,81920,3,100,1410,1512,1770901571.562069,gen
2026-02-12_08:06:06,131,2,rl_policy,3,1,2,1,NVIDIA A100 80GB PCIe,55,296.38,300.00,300.00,P0,0x0000000000000004,Not Active,Active,32598,81920,36,98,1275,1512,1770901572.562069,adv
2026-02-12_08:06:08,133,2,rl_policy,3,1,2,1,NVIDIA A100 80GB PCIe,57,307.60,300.00,300.00,P0,0x0000000000000004,Not Active,Active,32598,81920,36,98,1230,1512,1770901574.562069,adv
2026-02-12_08:06:09,134,3,training,3,1,2,1,NVIDIA A100 80GB PCIe,54,162.51,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,48278,81920,59,100,1410,1512,1770901575.562069,update_actor
2026-02-12_08:06:10,135,3,training,3,1,2,1,NVIDIA A100 80GB PCIe,55,217.69,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,49698,81920,61,100,1410,1512,1770901576.562069,update_actor
2026-02-12_08:06:11,136,3,training,3,1,2,1,NVIDIA A100 80GB PCIe,55,265.35,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,49698,81920,61,99,1410,1512,1770901577.562069,update_actor
2026-02-12_08:06:12,137,3,training,3,1,2,1,NVIDIA A100 80GB PCIe,56,281.02,300.00,300.00,P0,0x0000000000000004,Not Active,Active,49698,81920,63,99,1380,1512,1770901578.562069,update_actor
2026-02-12_08:06:14,139,3,training,3,1,2,1,NVIDIA A100 80GB PCIe,56,282.34,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,54938,81920,50,93,1410,1512,1770901580.562069,update_actor
2026-02-12_08:06:15,140,3,training,3,1,2,1,NVIDIA A100 80GB PCIe,56,267.78,300.00,300.00,P0,0x0000000000000004,Not Active,Active,54938,81920,47,91,1380,1512,1770901581.562069,update_actor
2026-02-12_08:06:16,141,3,training,3,1,2,1,NVIDIA A100 80GB PCIe,56,293.16,300.00,300.00,P0,0x0000000000000004,Not Active,Active,54940,81920,46,91,1395,1512,1770901582.562069,update_actor
2026-02-12_08:06:17,142,3,training,3,1,2,1,NVIDIA A100 80GB PCIe,56,301.22,300.00,300.00,P0,0x0000000000000004,Not Active,Active,54940,81920,43,91,1395,1512,1770901583.562069,update_actor
2026-02-12_08:06:19,144,3,training,3,1,2,1,NVIDIA A100 80GB PCIe,56,274.42,300.00,300.00,P0,0x0000000000000004,Not Active,Active,54940,81920,50,93,1395,1512,1770901585.562069,update_actor
2026-02-12_08:06:20,145,3,training,3,1,2,1,NVIDIA A100 80GB PCIe,57,300.95,300.00,300.00,P0,0x0000000000000004,Not Active,Active,54940,81920,47,91,1395,1512,1770901586.562069,update_actor
2026-02-12_08:06:21,146,3,training,3,1,2,1,NVIDIA A100 80GB PCIe,56,286.56,300.00,300.00,P0,0x0000000000000004,Not Active,Active,54940,81920,60,100,1395,1512,1770901587.562069,update_actor
2026-02-12_08:06:22,147,3,training,3,1,2,1,NVIDIA A100 80GB PCIe,56,257.26,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,54940,81920,60,100,1410,1512,1770901588.562069,update_actor
2026-02-12_08:06:24,149,3,training,3,1,2,1,NVIDIA A100 80GB PCIe,57,296.11,300.00,300.00,P0,0x0000000000000004,Not Active,Active,54940,81920,56,97,1395,1512,1770901590.562069,update_actor
2026-02-12_08:06:25,150,3,training,3,1,2,1,NVIDIA A100 80GB PCIe,56,254.59,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,54940,81920,60,100,1410,1512,1770901591.562069,update_actor
2026-02-12_08:06:26,151,3,training,3,1,2,1,NVIDIA A100 80GB PCIe,57,290.83,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,54940,81920,60,100,1410,1512,1770901592.562069,update_actor
2026-02-12_08:06:27,152,3,training,3,1,2,1,NVIDIA A100 80GB PCIe,56,263.22,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,54940,81920,61,100,1410,1512,1770901593.562069,update_actor
2026-02-12_08:06:29,154,1,rollout,4,1,2,1,NVIDIA A100 80GB PCIe,52,90.27,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,29516,81920,3,100,1410,1512,1770901595.562069,gen
