timestamp,elapsed_seconds,phase_id,phase_name,iteration,nnodes,gpus_per_node,gpu_id,gpu_name,temperature_c,power_draw_w,power_limit_w,enforced_power_limit_w,pstate,clocks_throttle_active,clocks_throttle_gpu_idle,clocks_throttle_sw_power_cap,memory_used_mb,memory_total_mb,memory_util_percent,gpu_util_percent,sm_clock_mhz,mem_clock_mhz,timestamp_aligned_unix,operation
2026-02-12_18:53:55,68,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,39,77.84,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,15704,81920,0,0,1410,1512,1770940439.347877,gen
2026-02-12_18:53:55,68,1,rollout,1,1,2,1,NVIDIA A100 80GB PCIe,38,76.65,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,15704,81920,0,0,1410,1512,1770940439.347877,gen
2026-02-12_18:53:56,69,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,43,237.85,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,28494,81920,53,84,1410,1512,1770940440.347877,gen
2026-02-12_18:53:56,69,1,rollout,1,1,2,1,NVIDIA A100 80GB PCIe,42,237.61,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,28484,81920,51,82,1410,1512,1770940440.347877,gen
2026-02-12_18:53:57,70,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,44,243.82,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,28494,81920,54,85,1410,1512,1770940441.347877,gen
2026-02-12_18:53:57,70,1,rollout,1,1,2,1,NVIDIA A100 80GB PCIe,42,239.38,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,28484,81920,53,83,1410,1512,1770940441.347877,gen
2026-02-12_18:53:59,72,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,40,77.74,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,4450,81920,0,8,1410,1512,1770940443.347877,gen
2026-02-12_18:53:59,72,1,rollout,1,1,2,1,NVIDIA A100 80GB PCIe,39,77.25,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,4450,81920,2,62,1410,1512,1770940443.347877,gen
2026-02-12_18:54:00,73,2,rl_policy,1,1,2,0,NVIDIA A100 80GB PCIe,46,306.00,300.00,300.00,P0,0x0000000000000004,Not Active,Active,8056,81920,35,94,1335,1512,1770940444.347877,adv
2026-02-12_18:54:00,73,2,rl_policy,1,1,2,1,NVIDIA A100 80GB PCIe,46,293.34,300.00,300.00,P0,0x0000000000000004,Not Active,Active,8056,81920,35,94,1365,1512,1770940444.347877,adv
2026-02-12_18:54:01,74,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,45,236.45,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,14288,81920,36,77,1410,1512,1770940445.347877,update_actor
2026-02-12_18:54:01,74,3,training,1,1,2,1,NVIDIA A100 80GB PCIe,44,209.48,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,14286,81920,36,73,1410,1512,1770940445.347877,update_actor
2026-02-12_18:54:02,75,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,45,209.57,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,14288,81920,30,81,1410,1512,1770940446.347877,update_actor
2026-02-12_18:54:02,75,3,training,1,1,2,1,NVIDIA A100 80GB PCIe,44,190.46,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,14286,81920,40,77,1410,1512,1770940446.347877,update_actor
2026-02-12_18:54:04,77,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,45,238.96,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,20448,81920,29,82,1410,1512,1770940448.347877,update_actor
2026-02-12_18:54:04,77,3,training,1,1,2,1,NVIDIA A100 80GB PCIe,44,191.38,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,20446,81920,38,76,1410,1512,1770940448.347877,update_actor
2026-02-12_18:54:05,78,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,45,191.87,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,20448,81920,28,78,1410,1512,1770940449.347877,update_actor
2026-02-12_18:54:05,78,3,training,1,1,2,1,NVIDIA A100 80GB PCIe,45,210.64,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,20446,81920,28,65,1410,1512,1770940449.347877,update_actor
2026-02-12_18:54:06,79,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,45,206.29,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,20448,81920,43,87,1410,1512,1770940450.347877,update_actor
2026-02-12_18:54:06,79,3,training,1,1,2,1,NVIDIA A100 80GB PCIe,45,218.62,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,20446,81920,43,82,1410,1512,1770940450.347877,update_actor
2026-02-12_18:54:07,80,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,46,193.45,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,20448,81920,40,85,1410,1512,1770940451.347877,update_actor
2026-02-12_18:54:07,80,3,training,1,1,2,1,NVIDIA A100 80GB PCIe,45,207.20,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,20446,81920,42,78,1410,1512,1770940451.347877,update_actor
2026-02-12_18:54:08,81,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,46,219.87,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,20448,81920,31,82,1410,1512,1770940452.347877,update_actor
2026-02-12_18:54:08,81,3,training,1,1,2,1,NVIDIA A100 80GB PCIe,45,186.41,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,20446,81920,43,80,1410,1512,1770940452.347877,update_actor
2026-02-12_18:54:10,83,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,46,196.63,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,20448,81920,39,85,1410,1512,1770940454.347877,update_actor
2026-02-12_18:54:10,83,3,training,1,1,2,1,NVIDIA A100 80GB PCIe,46,220.92,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,20446,81920,31,65,1410,1512,1770940454.347877,update_actor
2026-02-12_18:54:11,84,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,46,220.06,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,20448,81920,38,83,1410,1512,1770940455.347877,update_actor
2026-02-12_18:54:11,84,3,training,1,1,2,1,NVIDIA A100 80GB PCIe,47,241.50,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,20446,81920,36,77,1410,1512,1770940455.347877,update_actor
2026-02-12_18:54:12,85,1,rollout,2,1,2,0,NVIDIA A100 80GB PCIe,44,79.71,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,20448,81920,19,20,1410,1512,1770940456.347877,gen
2026-02-12_18:54:12,85,1,rollout,2,1,2,1,NVIDIA A100 80GB PCIe,43,80.10,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,20446,81920,0,0,1410,1512,1770940456.347877,gen
2026-02-12_18:54:13,86,1,rollout,2,1,2,0,NVIDIA A100 80GB PCIe,43,80.10,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,21614,81920,0,0,1410,1512,1770940457.347877,gen
2026-02-12_18:54:13,86,1,rollout,2,1,2,1,NVIDIA A100 80GB PCIe,43,79.81,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,21614,81920,0,0,1410,1512,1770940457.347877,gen
2026-02-12_18:54:15,88,1,rollout,2,1,2,0,NVIDIA A100 80GB PCIe,47,244.29,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,34410,81920,53,84,1410,1512,1770940459.347877,gen
2026-02-12_18:54:15,88,1,rollout,2,1,2,1,NVIDIA A100 80GB PCIe,46,235.17,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,34418,81920,52,84,1410,1512,1770940459.347877,gen
2026-02-12_18:54:16,89,1,rollout,2,1,2,0,NVIDIA A100 80GB PCIe,47,253.36,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,34410,81920,55,87,1410,1512,1770940460.347877,gen
2026-02-12_18:54:16,89,1,rollout,2,1,2,1,NVIDIA A100 80GB PCIe,47,233.88,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,34418,81920,54,85,1410,1512,1770940460.347877,gen
2026-02-12_18:54:17,90,2,rl_policy,2,1,2,0,NVIDIA A100 80GB PCIe,45,87.26,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,11522,81920,0,63,1410,1512,1770940461.347877,adv
2026-02-12_18:54:17,90,2,rl_policy,2,1,2,1,NVIDIA A100 80GB PCIe,47,228.99,300.00,300.00,P0,0x0000000000000004,Not Active,Active,11522,81920,0,0,1380,1512,1770940461.347877,adv
2026-02-12_18:54:18,91,2,rl_policy,2,1,2,0,NVIDIA A100 80GB PCIe,48,152.99,300.00,300.00,P0,0x0000000000000004,Not Active,Active,13964,81920,34,93,1380,1512,1770940462.347877,adv
2026-02-12_18:54:18,91,2,rl_policy,2,1,2,1,NVIDIA A100 80GB PCIe,48,181.12,300.00,300.00,P0,0x0000000000000004,Not Active,Active,14024,81920,26,69,1395,1512,1770940462.347877,adv
2026-02-12_18:54:20,93,3,training,2,1,2,0,NVIDIA A100 80GB PCIe,48,216.96,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,20186,81920,41,79,1410,1512,1770940464.347877,update_actor
2026-02-12_18:54:20,93,3,training,2,1,2,1,NVIDIA A100 80GB PCIe,47,212.09,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,20184,81920,39,81,1410,1512,1770940464.347877,update_actor
2026-02-12_18:54:21,94,3,training,2,1,2,0,NVIDIA A100 80GB PCIe,48,214.67,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,20186,81920,38,78,1410,1512,1770940465.347877,update_actor
2026-02-12_18:54:21,94,3,training,2,1,2,1,NVIDIA A100 80GB PCIe,48,236.38,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,20184,81920,34,82,1410,1512,1770940465.347877,update_actor
2026-02-12_18:54:22,95,3,training,2,1,2,0,NVIDIA A100 80GB PCIe,48,223.81,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,20446,81920,40,80,1410,1512,1770940466.347877,update_actor
