timestamp,elapsed_seconds,phase_id,phase_name,iteration,nnodes,gpus_per_node,gpu_id,gpu_name,temperature_c,power_draw_w,power_limit_w,enforced_power_limit_w,pstate,clocks_throttle_active,clocks_throttle_gpu_idle,clocks_throttle_sw_power_cap,memory_used_mb,memory_total_mb,memory_util_percent,gpu_util_percent,sm_clock_mhz,mem_clock_mhz,timestamp_aligned_unix,operation
2026-02-11_20:44:14,111,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,37,75.88,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,44080,81920,0,0,1410,1512,1770860660.860783,gen
2026-02-11_20:44:15,112,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,41,282.04,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,40742,81920,70,91,1410,1512,1770860661.860783,gen
2026-02-11_20:44:17,114,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,42,279.15,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,40742,81920,71,91,1410,1512,1770860663.860783,gen
2026-02-11_20:44:18,115,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,43,284.09,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,40742,81920,79,93,1410,1512,1770860664.860783,gen
2026-02-11_20:44:19,116,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,39,77.64,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,16800,81920,2,81,1410,1512,1770860665.860783,gen
2026-02-11_20:44:20,117,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,38,77.84,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,17140,81920,0,0,1410,1512,1770860666.860783,gen
2026-02-11_20:44:22,119,2,rl_policy,1,1,2,0,NVIDIA A100 80GB PCIe,45,302.59,300.00,300.00,P0,0x0000000000000004,Not Active,Active,21904,81920,37,98,1320,1512,1770860668.860783,adv
2026-02-11_20:44:23,120,2,rl_policy,1,1,2,0,NVIDIA A100 80GB PCIe,46,312.41,300.00,300.00,P0,0x0000000000000004,Not Active,Active,21904,81920,37,96,1335,1512,1770860669.860783,adv
2026-02-11_20:44:24,121,2,rl_policy,1,1,2,0,NVIDIA A100 80GB PCIe,46,280.62,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,23744,81920,38,92,1410,1512,1770860670.860783,adv
2026-02-11_20:44:25,122,2,rl_policy,1,1,2,0,NVIDIA A100 80GB PCIe,46,283.67,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,23744,81920,37,91,1410,1512,1770860671.860783,adv
2026-02-11_20:44:26,123,2,rl_policy,1,1,2,0,NVIDIA A100 80GB PCIe,46,271.94,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,23744,81920,38,93,1410,1512,1770860672.860783,adv
2026-02-11_20:44:28,125,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,46,254.58,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,36592,81920,37,77,1410,1512,1770860674.860783,update_critic
2026-02-11_20:44:29,126,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,47,306.61,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,37272,81920,45,92,1410,1512,1770860675.860783,update_critic
2026-02-11_20:44:30,127,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,47,277.77,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,37272,81920,45,88,1410,1512,1770860676.860783,update_critic
2026-02-11_20:44:31,128,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,48,285.13,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,37272,81920,54,94,1410,1512,1770860677.860783,update_critic
2026-02-11_20:44:33,130,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,48,302.91,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,56492,81920,52,93,1395,1512,1770860679.860783,update_critic
2026-02-11_20:44:34,131,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,49,278.40,300.00,300.00,P0,0x0000000000000004,Not Active,Active,56494,81920,57,96,1395,1512,1770860680.860783,update_critic
2026-02-11_20:44:35,132,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,49,295.69,300.00,300.00,P0,0x0000000000000004,Not Active,Active,56494,81920,60,99,1395,1512,1770860681.860783,update_critic
2026-02-11_20:44:36,133,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,49,286.40,300.00,300.00,P0,0x0000000000000004,Not Active,Active,56494,81920,60,99,1380,1512,1770860682.860783,update_critic
