timestamp,elapsed_seconds,phase_id,phase_name,iteration,nnodes,gpus_per_node,gpu_id,gpu_name,temperature_c,power_draw_w,power_limit_w,enforced_power_limit_w,pstate,clocks_throttle_active,clocks_throttle_gpu_idle,clocks_throttle_sw_power_cap,memory_used_mb,memory_total_mb,memory_util_percent,gpu_util_percent,sm_clock_mhz,mem_clock_mhz,timestamp_aligned_unix,operation
2026-02-12_11:47:08,71,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,40,77.64,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,18670,81920,8,18,1410,1512,1770914831.993185,gen
2026-02-12_11:47:09,72,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,43,241.50,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,31456,81920,52,83,1410,1512,1770914832.993185,gen
2026-02-12_11:47:10,73,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,44,239.27,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,31456,81920,54,85,1410,1512,1770914833.993185,gen
2026-02-12_11:47:11,74,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,41,78.13,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,7416,81920,0,1,1410,1512,1770914834.993185,gen
2026-02-12_11:47:13,76,2,rl_policy,1,1,2,0,NVIDIA A100 80GB PCIe,47,299.33,300.00,300.00,P0,0x0000000000000004,Not Active,Active,11022,81920,36,94,1305,1512,1770914836.993185,adv
2026-02-12_11:47:14,77,2,rl_policy,1,1,2,0,NVIDIA A100 80GB PCIe,46,242.57,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,11922,81920,26,81,1410,1512,1770914837.993185,adv
2026-02-12_11:47:15,78,2,rl_policy,1,1,2,0,NVIDIA A100 80GB PCIe,44,90.75,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,11922,81920,24,76,1410,1512,1770914838.993185,adv
2026-02-12_11:47:16,79,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,46,234.21,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,18734,81920,40,83,1410,1512,1770914839.993185,update_critic
2026-02-12_11:47:18,81,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,46,200.02,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,18734,81920,43,84,1410,1512,1770914841.993185,update_critic
2026-02-12_11:47:19,82,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,47,240.71,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,24894,81920,43,83,1410,1512,1770914842.993185,update_critic
2026-02-12_11:47:20,83,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,47,198.02,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,24894,81920,39,80,1410,1512,1770914843.993185,update_critic
2026-02-12_11:47:21,84,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,47,249.27,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,24894,81920,37,81,1410,1512,1770914844.993185,update_critic
2026-02-12_11:47:22,85,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,48,248.01,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,24894,81920,34,78,1410,1512,1770914845.993185,update_critic
2026-02-12_11:47:24,87,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,47,238.55,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,24894,81920,46,87,1410,1512,1770914847.993185,update_actor
2026-02-12_11:47:25,88,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,48,247.79,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,24894,81920,34,76,1410,1512,1770914848.993185,update_actor
2026-02-12_11:47:26,89,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,48,175.99,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,24894,81920,51,79,1410,1512,1770914849.993185,update_actor
2026-02-12_11:47:27,90,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,49,248.00,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,31114,81920,35,82,1410,1512,1770914850.993185,update_actor
2026-02-12_11:47:29,92,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,49,253.54,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,31114,81920,40,85,1410,1512,1770914852.993185,update_actor
2026-02-12_11:47:30,93,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,46,241.47,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,37014,81920,0,0,1410,1512,1770914853.993185,update_actor
