timestamp,elapsed_seconds,phase_id,phase_name,iteration,nnodes,gpus_per_node,gpu_id,gpu_name,temperature_c,power_draw_w,power_limit_w,enforced_power_limit_w,pstate,clocks_throttle_active,clocks_throttle_gpu_idle,clocks_throttle_sw_power_cap,memory_used_mb,memory_total_mb,memory_util_percent,gpu_util_percent,sm_clock_mhz,mem_clock_mhz,timestamp_aligned_unix,operation
2026-02-12_03:41:36,66,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,42,79.11,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,9252,81920,0,0,1410,1512,1770885708.559520,gen_max
2026-02-12_03:41:38,68,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,42,82.14,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,24618,81920,3,92,1410,1512,1770885710.559520,gen_max
2026-02-12_03:41:39,69,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,47,288.62,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,33276,81920,70,91,1410,1512,1770885711.559520,gen_max
2026-02-12_03:41:40,70,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,47,286.66,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,33276,81920,72,92,1410,1512,1770885712.559520,gen_max
2026-02-12_03:41:41,71,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,48,282.71,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,33276,81920,79,93,1410,1512,1770885713.559520,gen_max
2026-02-12_03:41:43,73,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,44,79.50,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,9252,81920,0,1,1410,1512,1770885715.559520,gen_max
2026-02-12_03:41:44,74,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,44,81.08,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,24618,81920,2,68,1410,1512,1770885716.559520,gen_max
2026-02-12_03:41:45,75,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,48,290.35,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,33242,81920,81,94,1410,1512,1770885717.559520,gen_max
2026-02-12_03:41:46,76,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,49,288.61,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,33242,81920,82,94,1410,1512,1770885718.559520,gen_max
2026-02-12_03:41:48,78,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,45,83.71,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,9302,81920,3,100,1410,1512,1770885720.559520,gen_max
2026-02-12_03:41:49,79,2,rl_policy,1,1,2,0,NVIDIA A100 80GB PCIe,50,290.69,300.00,300.00,P0,0x0000000000000004,Not Active,Active,14376,81920,36,98,1290,1512,1770885721.559520,adv
2026-02-12_03:41:50,80,2,rl_policy,1,1,2,0,NVIDIA A100 80GB PCIe,51,292.00,300.00,300.00,P0,0x0000000000000004,Not Active,Active,14376,81920,37,98,1320,1512,1770885722.559520,adv
2026-02-12_03:41:51,81,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,49,234.13,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,29784,81920,60,99,1410,1512,1770885723.559520,update_actor
2026-02-12_03:41:52,82,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,50,239.69,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,31624,81920,63,99,1410,1512,1770885724.559520,update_actor
2026-02-12_03:41:54,84,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,51,271.96,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,31624,81920,58,96,1410,1512,1770885726.559520,update_actor
2026-02-12_03:41:55,85,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,51,273.09,300.00,300.00,P0,0x0000000000000004,Not Active,Active,31624,81920,53,94,1380,1512,1770885727.559520,update_actor
2026-02-12_03:41:56,86,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,51,255.42,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,52164,81920,60,100,1410,1512,1770885728.559520,update_actor
2026-02-12_03:41:57,87,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,51,268.97,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,52166,81920,61,100,1410,1512,1770885729.559520,update_actor
2026-02-12_03:41:59,89,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,52,277.99,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,52166,81920,61,100,1410,1512,1770885731.559520,update_actor
2026-02-12_03:42:00,90,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,52,288.42,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,52166,81920,60,100,1410,1512,1770885732.559520,update_actor
2026-02-12_03:42:01,91,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,53,237.14,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,52166,81920,57,97,1410,1512,1770885733.559520,update_actor
2026-02-12_03:42:02,92,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,53,281.59,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,52166,81920,55,95,1410,1512,1770885734.559520,update_actor
2026-02-12_03:42:04,94,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,53,271.07,300.00,300.00,P0,0x0000000000000004,Not Active,Active,52566,81920,50,93,1395,1512,1770885736.559520,update_actor
