timestamp,elapsed_seconds,phase_id,phase_name,iteration,nnodes,gpus_per_node,gpu_id,gpu_name,temperature_c,power_draw_w,power_limit_w,enforced_power_limit_w,pstate,clocks_throttle_active,clocks_throttle_gpu_idle,clocks_throttle_sw_power_cap,memory_used_mb,memory_total_mb,memory_util_percent,gpu_util_percent,sm_clock_mhz,mem_clock_mhz,timestamp_aligned_unix,operation
2026-02-12_15:50:03,68,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,41,78.73,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,15108,81920,9,17,1410,1512,1770929412.877644,gen_max
2026-02-12_15:50:03,68,1,rollout,1,1,2,1,NVIDIA A100 80GB PCIe,41,77.64,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,15704,81920,3,10,1410,1512,1770929412.877644,gen_max
2026-02-12_15:50:04,69,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,43,234.71,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,28494,81920,6,17,1410,1512,1770929413.877644,gen_max
2026-02-12_15:50:04,69,1,rollout,1,1,2,1,NVIDIA A100 80GB PCIe,43,230.65,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,28484,81920,47,76,1410,1512,1770929413.877644,gen_max
2026-02-12_15:50:05,70,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,45,219.66,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,28494,81920,51,81,1410,1512,1770929414.877644,gen_max
2026-02-12_15:50:05,70,1,rollout,1,1,2,1,NVIDIA A100 80GB PCIe,44,241.68,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,28484,81920,54,85,1410,1512,1770929414.877644,gen_max
2026-02-12_15:50:06,71,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,42,81.95,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,4544,81920,3,100,1410,1512,1770929415.877644,gen_max
2026-02-12_15:50:06,71,1,rollout,1,1,2,1,NVIDIA A100 80GB PCIe,41,81.17,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,4450,81920,3,100,1410,1512,1770929415.877644,gen_max
2026-02-12_15:50:08,73,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,42,79.72,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,15702,81920,17,33,1410,1512,1770929417.877644,gen_max
2026-02-12_15:50:08,73,1,rollout,1,1,2,1,NVIDIA A100 80GB PCIe,41,78.33,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,15702,81920,16,58,1410,1512,1770929417.877644,gen_max
2026-02-12_15:50:09,74,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,45,236.42,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,28454,81920,59,89,1410,1512,1770929418.877644,gen_max
2026-02-12_15:50:09,74,1,rollout,1,1,2,1,NVIDIA A100 80GB PCIe,44,227.71,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,28448,81920,59,89,1410,1512,1770929418.877644,gen_max
2026-02-12_15:50:10,75,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,45,234.14,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,28454,81920,59,89,1410,1512,1770929419.877644,gen_max
2026-02-12_15:50:10,75,1,rollout,1,1,2,1,NVIDIA A100 80GB PCIe,44,227.30,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,28448,81920,59,89,1410,1512,1770929419.877644,gen_max
2026-02-12_15:50:11,76,1,rollout,1,1,2,0,NVIDIA A100 80GB PCIe,42,79.11,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,4450,81920,0,0,1410,1512,1770929420.877644,gen_max
2026-02-12_15:50:11,76,1,rollout,1,1,2,1,NVIDIA A100 80GB PCIe,41,78.52,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,4450,81920,0,0,1410,1512,1770929420.877644,gen_max
2026-02-12_15:50:12,77,2,rl_policy,1,1,2,0,NVIDIA A100 80GB PCIe,45,86.65,300.00,300.00,P0,0x0000000000000004,Not Active,Active,5612,81920,0,0,1380,1512,1770929421.877644,adv
2026-02-12_15:50:12,77,2,rl_policy,1,1,2,1,NVIDIA A100 80GB PCIe,45,314.56,300.00,300.00,P0,0x0000000000000004,Not Active,Active,6572,81920,20,59,1395,1512,1770929421.877644,adv
2026-02-12_15:50:14,79,2,rl_policy,1,1,2,0,NVIDIA A100 80GB PCIe,46,154.37,300.00,300.00,P0,0x0000000000000004,Not Active,Active,8056,81920,37,94,1380,1512,1770929423.877644,adv
2026-02-12_15:50:14,79,2,rl_policy,1,1,2,1,NVIDIA A100 80GB PCIe,46,172.61,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,8056,81920,28,80,1410,1512,1770929423.877644,adv
2026-02-12_15:50:15,80,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,47,252.57,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,14288,81920,33,78,1410,1512,1770929424.877644,update_actor
2026-02-12_15:50:15,80,3,training,1,1,2,1,NVIDIA A100 80GB PCIe,46,213.11,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,14286,81920,33,73,1410,1512,1770929424.877644,update_actor
2026-02-12_15:50:16,81,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,46,213.87,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,14288,81920,45,81,1410,1512,1770929425.877644,update_actor
2026-02-12_15:50:16,81,3,training,1,1,2,1,NVIDIA A100 80GB PCIe,46,186.20,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,14286,81920,44,89,1410,1512,1770929425.877644,update_actor
2026-02-12_15:50:17,82,3,training,1,1,2,0,NVIDIA A100 80GB PCIe,46,212.37,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,20448,81920,44,81,1410,1512,1770929426.877644,update_actor
2026-02-12_15:50:17,82,3,training,1,1,2,1,NVIDIA A100 80GB PCIe,46,181.74,300.00,300.00,P0,0x0000000000000000,Not Active,Not Active,20446,81920,43,87,1410,1512,1770929426.877644,update_actor
