timestamp,elapsed_seconds,phase_id,phase_name,iteration,nnodes,gpus_per_node,gpu_id,gpu_name,temperature_c,power_draw_w,power_limit_w,enforced_power_limit_w,pstate,clocks_throttle_active,clocks_throttle_gpu_idle,clocks_throttle_sw_power_cap,memory_used_mb,memory_total_mb,memory_util_percent,gpu_util_percent,sm_clock_mhz,mem_clock_mhz
2026-02-12_15:48:55,0,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,52,61.15,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,285,1512
2026-02-12_15:48:55,0,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,51,60.40,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,285,1512
2026-02-12_15:48:56,1,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,51,60.69,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_15:48:56,1,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,50,60.19,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_15:48:57,2,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,51,60.35,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_15:48:57,2,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,49,59.89,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_15:48:59,4,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,50,60.77,300.00,300.00,P0,0x0000000000000001,Active,Not Active,3,81920,0,0,210,1512
2026-02-12_15:48:59,4,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,49,59.78,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_15:49:00,5,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,50,60.56,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-12_15:49:00,5,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,49,59.79,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-12_15:49:01,6,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,49,59.78,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_15:49:01,6,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,48,59.40,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_15:49:02,7,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,49,59.69,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_15:49:02,7,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,48,59.21,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_15:49:04,9,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,48,59.40,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_15:49:04,9,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,47,59.50,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_15:49:05,10,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,48,59.40,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-12_15:49:05,10,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,47,59.40,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-12_15:49:06,11,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,48,59.10,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_15:49:06,11,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,47,59.21,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_15:49:07,12,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,47,58.90,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_15:49:07,12,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,46,59.01,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_15:49:09,14,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,47,58.80,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_15:49:09,14,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,46,58.92,300.00,300.00,P0,0x0000000000000001,Active,Not Active,0,81920,0,0,210,1512
2026-02-12_15:49:10,15,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,47,58.70,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-12_15:49:10,15,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,46,58.82,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-12_15:49:11,16,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,46,58.60,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-12_15:49:11,16,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,45,58.61,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-12_15:49:12,17,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,46,58.41,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-12_15:49:12,17,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,45,58.51,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-12_15:49:13,19,0,idle,0,1,2,0,NVIDIA A100 80GB PCIe,46,58.31,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
2026-02-12_15:49:13,19,0,idle,0,1,2,1,NVIDIA A100 80GB PCIe,45,58.33,300.00,300.00,P0,0x0000000000000001,Active,Not Active,4,81920,0,0,210,1512
